ds,yhat,yhat_lower,yhat_upper
2024-03-30,64929.05340285537,60850.05731990388,68916.06216696935
2024-03-31,65085.35617228882,60836.87841130364,69408.12131240965
2024-04-01,65429.9987074255,61146.265155160254,69487.07639913418
2024-04-02,65359.982618862356,61239.38604692753,69375.88882742437
2024-04-03,65488.39485341903,61289.54626333145,69707.29466770259
2024-04-04,65545.16593984603,61603.9455887329,69586.71422223793
2024-04-05,65717.55928473745,61718.41750921826,69825.40186279677
2024-04-06,65816.42893888427,61781.47449441368,70144.57642641533
2024-04-07,65972.73170831808,61942.2658012109,69896.59571282467
2024-04-08,66317.37424345492,62445.127647101115,70770.53933341891
2024-04-09,66247.3581548915,62275.726806789455,70295.63212019303
2024-04-10,66220.98950237974,62578.32258490373,70265.19860756009
2024-04-11,66122.97970173864,62046.70466447641,70222.90975296496
2024-04-12,66140.592159562,61795.89728707636,70094.08619041748
2024-04-13,66084.68092664087,62167.35852438908,70011.272393685
2024-04-14,66086.20280900615,62004.54398863789,70139.95195951588
2024-04-15,66276.06445707497,61914.143641691764,70297.19008920941
2024-04-16,66051.26748144336,61959.87981262083,70422.48252370057
2024-04-17,66024.89882893185,61991.80528888576,70086.49664065256
2024-04-18,65926.88902829071,61496.13388236508,69853.4360880359
2024-04-19,65944.50148611401,61588.43025428865,69858.1557121071
2024-04-20,65888.59025319293,61603.80192032946,69696.4822262808
2024-04-21,65890.11213555782,61534.7737480568,70201.18254032293
2024-04-22,66079.97378362682,62286.83938920354,69908.90601704127
2024-04-23,65855.17680799517,62036.49173672082,70174.40821862471
2024-04-24,65828.80815548373,61925.885536343805,69557.10493126177
2024-04-25,65730.79835484222,61636.00026546984,69901.62614890588
2024-04-26,65748.41081266628,61587.18140207218,69867.94072758044
2024-04-27,65692.49957974501,61541.72853058406,69577.51257156435
2024-04-28,65694.02146211015,61901.04225516732,70120.69311535347
2024-04-29,65883.88311017888,61707.790737171264,70091.50100172957
2024-04-30,65659.08613454763,61858.202900421355,69702.21924213448
2024-05-01,65632.71746255619,61394.576037569175,69681.37901159702
2024-05-02,65534.70764243588,61524.60487325805,69516.65526930302
2024-05-03,65552.32008077942,61273.84813268165,69499.22688412313
2024-05-04,65496.40882837899,61675.552480196944,69820.67252521106
2024-05-05,65497.93069126509,61272.48248675009,69454.29858584068
2024-05-06,65687.79231985428,61440.48215391952,69802.91951889817
2024-05-07,65462.99532474357,61430.745261507436,69539.4110295789
2024-05-08,65436.62665275218,61404.40425991318,69661.31104634338
2024-05-09,65338.6168326317,61010.20779423099,69220.67059741814
2024-05-10,65356.229270975826,60959.89087450423,69581.4697516194
2024-05-11,65300.318018575155,61078.682938703416,69375.49799830912
2024-05-12,65301.83988146122,61290.450572950074,69312.89005383289
2024-05-13,65491.70151005058,61429.729456092544,69584.63961841266
2024-05-14,65266.904514939604,61202.03464188419,69349.81100239174
2024-05-15,65240.53584294842,61384.05465948143,69326.64326530455
2024-05-16,65142.526022828104,60978.111048606355,69072.32362002824
2024-05-17,65160.138461172224,60976.27992535884,69075.70522336315
2024-05-18,65104.227208770906,61141.07893387479,69017.38137010363
2024-05-19,65105.74907165734,61028.47681545651,68977.1400204922
2024-05-20,65295.610700246565,61045.47679649067,69186.75275712048
2024-05-21,65070.813705135515,61074.834572556654,69197.61254111998
2024-05-22,65044.445029617666,60752.4549104815,69145.33668381617
2024-05-23,64946.43520597009,60888.639264007754,69282.41579160566
2024-05-24,64964.047640786994,60940.28167801556,68884.70578139296
2024-05-25,64908.13638485989,60856.87963561357,68834.58312885836
2024-05-26,64909.65824421831,60694.30379522911,68886.3058917427
2024-05-27,65099.51986928117,60717.97208622594,69075.8769408051
2024-05-28,64874.72287064316,60889.58277624851,69000.16369332506
2024-05-29,64848.354195125605,60987.871471942744,69158.51500204073
2024-05-30,64750.344371478,60532.3891714639,68581.06838988377
2024-05-31,64767.95680629509,60966.51860471007,68722.58398844051
2024-06-01,64712.04555036736,60597.146808879166,68714.78901767872
2024-06-02,64713.56740972615,60577.10312246151,69082.17615796142
2024-06-03,64903.42903478886,60442.06929084675,68714.03853498153
2024-06-04,64678.632036150906,60564.23890365071,68856.256938035
2024-06-05,64652.26336063308,60815.10518856908,68679.87033831135
2024-06-06,64554.25353698592,60645.14955546215,68755.84094293878
2024-06-07,64571.86597180294,60597.60296575826,68777.20774931884
2024-06-08,64515.95471587482,60160.528902982056,68623.08411765967
2024-06-09,64517.4765752343,60325.797210384684,68484.83787916275
2024-06-10,64707.338200296705,60756.007517422055,68897.85806571682
2024-06-11,64482.54120165854,60367.3756918628,68572.1266642617
2024-06-12,64456.17252514439,60318.28774103809,68436.2685391663
2024-06-13,64358.16270050068,60573.273951528005,68398.99634203453
2024-06-14,64375.77513432134,60193.226045553914,68309.5804908672
2024-06-15,64319.86387739687,60368.45783581113,68452.16879587497
2024-06-16,64321.38573575895,60043.39647995572,68102.16650969812
2024-06-17,64511.247359825145,60338.338358420246,68414.46456422846
2024-06-18,64286.45036019086,60376.868384603986,68497.41030579193
2024-06-19,64260.08168367613,60247.689821340675,68373.68588230056
2024-06-20,64162.07185903224,60285.26787427871,68409.5857032236
2024-06-21,64179.68429285301,60294.640529381475,67894.39895907309
2024-06-22,64123.77303592837,59942.17428357374,68143.60549141893
2024-06-23,64125.29489429052,59910.58057768765,68312.16003083822
2024-06-24,64315.15651835703,60453.56499950174,68662.58162596599
2024-06-25,64090.359518722544,60202.84893900999,68154.4283105864
2024-06-26,64063.9908422081,59937.313268078375,68184.67083519258
2024-06-27,63965.98101756457,59660.99570905828,67695.6772595266
2024-06-28,63983.59345138471,59543.9745425431,68029.64862640676
2024-06-29,63927.6821944607,60289.211405475864,68123.78929826697
2024-06-30,63929.20405282239,59840.61663706093,68182.67313570784
2024-07-01,64119.06567688876,60255.56348087678,67823.60183815316
2024-07-02,63894.268677254266,60007.234436317245,67984.26695963535
2024-07-03,63867.90000074006,59561.11788214505,67769.87599161512
2024-07-04,63769.89017609595,59971.77924445291,67783.41568714973
2024-07-05,63787.502609916395,59887.088375002655,67726.54597461401
2024-07-06,63731.591352992196,59518.57188695125,67691.20768305956
2024-07-07,63733.113211354575,59612.70890859303,67975.29318524011
2024-07-08,63922.974835420784,59885.271011744975,68152.96882746139
2024-07-09,63698.17783578663,59547.52088971692,67525.64336174917
2024-07-10,63671.809159271565,59727.57877140946,67848.064303455
2024-07-11,63573.799334627896,59725.186389099144,68087.1388243937
2024-07-12,63591.41176844853,59665.04394447295,67815.16652691828
2024-07-13,63535.50051152413,59405.8528818023,67621.7248378863
2024-07-14,63537.02236988677,59168.67533803708,67651.20038255492
2024-07-15,63726.88399395239,59745.90191606863,68054.112689174
2024-07-16,63502.086994318364,59372.07974214682,67616.45354849864
2024-07-17,63475.71831780355,59232.43816425645,67558.79835393421
2024-07-18,63377.708493159465,59073.480351713195,67454.43175976734
2024-07-19,63395.32092697977,59433.357177753016,67425.92635193087
2024-07-20,63339.40967005601,59087.19174183726,67332.29046797786
2024-07-21,63340.9315284183,59181.95867017827,67215.66618199421
2024-07-22,63530.79315248427,59236.937807230854,67930.98388348156
2024-07-23,63305.99615285004,59188.30792914702,67113.4787428405
2024-07-24,63279.62747633528,59266.12166928584,67360.66141145241
2024-07-25,63181.61765169102,59069.365416322566,67088.85210529358
2024-07-26,63199.23008551209,59278.16098906816,67588.84605498584
2024-07-27,63143.318828587944,59116.233705922794,67080.11843877607
2024-07-28,63144.8406869505,59259.30446064111,67210.4588773795
2024-07-29,63334.702311016,59097.385845939556,67376.44176448173
2024-07-30,63109.90531138177,59171.7509208935,67084.13350539017
2024-07-31,63083.5366348672,59187.2024978891,67466.04481775615
2024-08-01,62985.526810223346,58849.435614822076,66848.90925959214
2024-08-02,63003.139244043334,59085.11100722104,67031.79454065084
2024-08-03,62947.22798711944,58646.78349170942,66728.07420052685
2024-08-04,62948.749845482365,59149.25675158714,67012.058391449
2024-08-05,63138.61146954772,59160.75128489616,67088.98336393236
2024-08-06,62913.81446991346,58704.795086619146,67006.92286542426
2024-08-07,62887.44579339894,58583.30955280364,66716.99698486093
2024-08-08,62789.4359687549,58962.74804668957,66972.25132391627
2024-08-09,62807.04840257547,58591.75794622593,66748.34407688389
2024-08-10,62751.137145651366,58497.20278960579,66855.97924830187
2024-08-11,62752.6590040136,58648.06438091835,66876.97866565478
2024-08-12,62942.5206280798,58791.98245635628,67198.4237432083
2024-08-13,62717.723628445216,58629.56126196153,66591.26084251235
2024-08-14,62691.35495193091,58656.76664048811,67162.85107201083
2024-08-15,62593.34512728685,57955.79737287383,66827.08958956727
2024-08-16,62610.957561107345,58362.36065707461,66507.76503625313
2024-08-17,62555.04630418287,58459.762035680535,66614.35719481783
2024-08-18,62556.56816254547,58659.54516705553,66764.31451381114
2024-08-19,62746.42978661169,58656.77531837027,66863.55588492389
2024-08-20,62521.63278697691,58267.52294533745,66653.40210225176
2024-08-21,62495.26411046265,58494.4869473143,66630.85780780383
2024-08-22,62397.25428581861,58167.36417973529,66511.8570342706
2024-08-23,62414.86671963903,58565.01340208854,66812.63082871636
2024-08-24,62358.95546271523,58258.324267757416,66564.36827347473
2024-08-25,62360.477321077655,58483.28427582867,66253.70429000218
2024-08-26,62550.338945143405,58336.687935900496,66667.99533903348
2024-08-27,62325.54194550922,58518.88134800865,66355.4646605528
2024-08-28,62299.17326899462,58298.73889626534,66574.6360577511
2024-08-29,62201.16344435055,58045.525619222324,66326.17560819248
2024-08-30,62218.77587817072,58259.62809272047,66355.86213552879
2024-08-31,62162.86462124673,57940.165886316136,66084.81886308297
2024-09-01,62164.386479609515,57905.31526688691,65902.99063635668
2024-09-02,62354.248103675134,58325.904020925984,66283.89043594613
2024-09-03,62129.45110404095,58040.82870753895,66074.33000892919
2024-09-04,62103.082427526126,57824.89090248038,65962.9237755195
2024-09-05,62005.0726028825,57992.39084008225,65867.09232558035
2024-09-06,62022.68503670287,58022.89729807187,66264.42110865166
2024-09-07,61966.773779778625,57479.509559040955,65778.10975130838
2024-09-08,61968.29563814075,57931.24334873524,65891.86266445831
2024-09-09,62158.157262207016,57996.074003250666,66375.66959553427
2024-09-10,61933.36026257268,57875.84279833582,66039.10133016395
2024-09-11,61906.9915860581,57534.24791216507,65967.15465172347
